frame_id,video_id,source_frame_index,timestamp_seconds,output_path,status,sharpness,duplicate_of
video-2__f018674__t778.200,video-2,18674,778.2,data\frames\video-2\frame_003892.png,selected,386.43668605644757,
video-2__f018679__t778.400,video-2,18679,778.4,data\frames\video-2\frame_003893.png,selected,413.5776885260402,
video-2__f018684__t778.600,video-2,18684,778.6,data\frames\video-2\frame_003894.png,selected,412.315852564748,
video-2__f018689__t778.800,video-2,18689,778.8,data\frames\video-2\frame_003895.png,selected,425.5085500963952,
video-2__f018694__t779.000,video-2,18694,779.0,data\frames\video-2\frame_003896.png,excluded_duplicate,421.2019005217302,video-2__f018689__t778.800
video-2__f018698__t779.200,video-2,18698,779.2,data\frames\video-2\frame_003897.png,selected,397.8935336370803,
video-2__f018703__t779.400,video-2,18703,779.4,data\frames\video-2\frame_003898.png,selected,389.4942214531295,
video-2__f018708__t779.600,video-2,18708,779.6,data\frames\video-2\frame_003899.png,excluded_duplicate,424.761492235747,video-2__f018703__t779.400
video-2__f018713__t779.800,video-2,18713,779.8,data\frames\video-2\frame_003900.png,selected,429.025912211587,
video-2__f018718__t780.000,video-2,18718,780.0,data\frames\video-2\frame_003901.png,selected,421.08987904753957,
video-2__f018722__t780.200,video-2,18722,780.2,data\frames\video-2\frame_003902.png,selected,405.3251145767209,
video-2__f018727__t780.400,video-2,18727,780.4,data\frames\video-2\frame_003903.png,selected,411.0497684594658,
video-2__f018732__t780.600,video-2,18732,780.6,data\frames\video-2\frame_003904.png,selected,398.39147114588155,
video-2__f018737__t780.800,video-2,18737,780.8,data\frames\video-2\frame_003905.png,selected,401.68330045909056,
video-2__f018742__t781.000,video-2,18742,781.0,data\frames\video-2\frame_003906.png,selected,412.0630877216657,
video-2__f018746__t781.200,video-2,18746,781.2,data\frames\video-2\frame_003907.png,selected,415.7305861297581,
